module,class_name,operation_name,operation_value,base_kind,input_count,output_count,input_data_types,output_data_types,signature_inputs,signature_outputs
Base,FreezeEntityNodeViewModel,Freeze,1566,OneOutputNodeViewModel,2,1,Entity|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Trigonometry,FromAsciiNodeViewModel,FromAscii,3597,OneOutputNodeViewModel,1,1,Number,String,"[{""name"": ""input"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]"
Memory,GameTimerNodeViewModel,GameTimer,5004,TwoOutputNodeViewModel,0,2,,Number|Number,[],"[{""name"": ""scaledTime"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""unscaledTime"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,GravityEntityNodeViewModel,Gravity,1563,OneOutputNodeViewModel,2,1,Entity|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Comparisons,GreaterNodeViewModel,Greater,2820,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Comparisons,GreaterOrEqualNodeViewModel,GreaterOrEqual,2818,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,IDIsValidNodeViewModel,IDIsValid,1552,OneOutputNodeViewModel,1,1,Number,Number,"[{""name"": ""input"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,IDToEntityNodeViewModel,IDToEntity,1550,OneOutputNodeViewModel,1,1,Number,Entity,"[{""name"": ""input"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}]"
Base,IdentityNodeViewModel,Identity,1,OneOutputNodeViewModel,1,1,Dynamic,Dynamic,"[{""name"": ""input"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Base,IgniteEntityNodeViewModel,Ignite,1569,OneOutputNodeViewModel,2,1,Entity|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
